nama_event,cabang_olahraga,lokasi,tahun
Tour de Pologne,Race stage,Poland,2000
Tour de Pologne Women,Race stage,Poland,2000
Tour de Romandie,Major one week stage races (cycling),Romandy,2000
Tour de Serbie,Race stage,Serbia,2000
Tour des Alpes-Maritimes,Race stage,"Provence-Alpes-Côte d'Azur, Var (department)",2000
Tour des Aéroports,Race stage,Tunisia,2000
Tour of Austria,Race stage,Austria,2000
Tour of Bulgaria,Race stage,Bulgaria,2000
Tour of Galicia,Race stage,Galicia (Spain),2000
Tour of Małopolska,Race stage,"Lesser Poland Voivodeship, Poland",2000
Tour of Romania,Race stage,Romania,2000
Tour of South China Sea,Classic cycle races,Guangdong,2000
Tour of the Alps,Race stage,Tyrol–South Tyrol–Trentino Euroregion,2000
Tour of the Basque Country,Major one week stage races (cycling),Basque Country (autonomous community),2000
Trofeo Edil C,Classic cycle races,"Italy, Province of Parma",2000
Van Merksteijn Fences Classic,Classic cycle races,"Belgium, Zwevegem",2000
Volta a Catalunya,Major one week stage races (cycling),Catalonia,2000
Volta a la Comunitat Valenciana,Race stage,Valencian Community,2000
Vuelta a Aragón,Race stage,Aragon,2000
Vuelta a Navarra,Race stage,Navarre,2000
Vuelta a San Juan,Race stage,"Argentina, San Juan Province, Argentina",2000
Vuelta a la Argentina,Race stage,Argentina,2000
Vuelta a la Independencia Nacional,Race stage,Dominican Republic,2000
Alpes Isère Tour,Race stage,Rhône-Alpes,2001
Australia World Cup,Classic cycle races,"Australia, Canberra, Geelong, Snowy Mountains, Sydney",2001
Bayern Rundfahrt,Race stage,Bavaria,2001
Bałtyk–Karkonosze Tour,Race stage,Poland,2001
Chrono des Nations,Individual time trial,Vendée,2001
Circuit de Wallonie,Classic cycle races,Wallonia,2001
Critérium du Dauphiné,Major one week stage races (cycling),"France, Rhône-Alpes",2001
Dookoła Mazowsza,Race stage,"Mazovia, Poland",2001
Draai van de Kaai,Criterium,"Netherlands, Roosendaal",2001
Dwars door het Hageland,Classic cycle races,Flemish Brabant,2001
Five Rings of Moscow,Race stage,"Moscow, Russia",2001
HTV Cup (cycling),Race stage,Vietnam,2001
Herald Sun Tour,Race stage,Victoria (state),2001
International Tour of Rhodes,Race stage,"Greece, Rhodes",2001
Japan Cup (cycling),Classic cycle races,Japan,2001
Jelajah Malaysia,Race stage,Peninsular Malaysia,2001
Joe Martin Stage Race,Race stage,"Fayetteville, Arkansas",2001
Kreiz Breizh Elites,Race stage,"Brittany, France",2001
Memorial Grundmanna I Wizowskiego,Classic cycle races,Poland,2001
Memoriał Romana Siemińskiego,Classic cycle races,"Masovian Voivodeship, Poland",2001
Okolo Slovenska,Race stage,Slovakia,2001
Presidential Cycling Tour of Turkey,Race stage,Turkey,2001
Ronde de l'Oise,Race stage,Oise,2001
Rutas de América,Race stage,Uruguay,2001
Settimana Internazionale di Coppi e Bartali,Race stage,Emilia-Romagna,2001
Szlakiem Grodów Piastowskich,Race stage,Lower Silesian Voivodeship,2001
Szlakiem Walk Majora Hubala,"Classic cycle races, Race stage",Poland,2001
Tour de Hokkaido,Race stage,"Hokkaido, Japan",2001
Tour de Hongrie,Race stage,Hungary,2001
Tour de Korea,Race stage,South Korea,2001
Tour de Langkawi,Race stage,Peninsular Malaysia,2001
Tour de Okinawa,Classic cycle races,"Japan, Okinawa Prefecture",2001
Tour de Pologne,Race stage,Poland,2001
Tour de Pologne Women,Race stage,Poland,2001
Tour de Romandie,Major one week stage races (cycling),Romandy,2001
Tour de Serbie,Race stage,Serbia,2001
Tour des Alpes-Maritimes,Race stage,"Provence-Alpes-Côte d'Azur, Var (department)",2001
Tour des Aéroports,Race stage,Tunisia,2001
Tour du Sénégal,Race stage,Senegal,2001
Tour of Austria,Race stage,Austria,2001
Tour of Bulgaria,Race stage,Bulgaria,2001
Tour of Małopolska,Race stage,"Lesser Poland Voivodeship, Poland",2001
Tour of Romania,Race stage,Romania,2001
Tour of South China Sea,Classic cycle races,Guangdong,2001
Tour of the Alps,Race stage,Tyrol–South Tyrol–Trentino Euroregion,2001
Tour of the Basque Country,Major one week stage races (cycling),Basque Country (autonomous community),2001
Trofeo Edil C,Classic cycle races,"Italy, Province of Parma",2001
Van Merksteijn Fences Classic,Classic cycle races,"Belgium, Zwevegem",2001
Volta a Catalunya,Major one week stage races (cycling),Catalonia,2001
Volta a la Comunitat Valenciana,Race stage,Valencian Community,2001
Vuelta a Aragón,Race stage,Aragon,2001
Vuelta a Navarra,Race stage,Navarre,2001
Vuelta a San Juan,Race stage,"Argentina, San Juan Province, Argentina",2001
Vuelta a la Independencia Nacional,Race stage,Dominican Republic,2001
Vuelta del Paraguay,Race stage,Paraguay,2001
Alpes Isère Tour,Race stage,Rhône-Alpes,2002
Australia World Cup,Classic cycle races,"Australia, Canberra, Geelong, Snowy Mountains, Sydney",2002
Bayern Rundfahrt,Race stage,Bavaria,2002
Bałtyk–Karkonosze Tour,Race stage,Poland,2002
Chrono des Nations,Individual time trial,Vendée,2002
Circuit de Wallonie,Classic cycle races,Wallonia,2002
Dookoła Mazowsza,Race stage,"Mazovia, Poland",2002
Draai van de Kaai,Criterium,"Netherlands, Roosendaal",2002
Dwars door het Hageland,Classic cycle races,Flemish Brabant,2002
Five Rings of Moscow,Race stage,"Moscow, Russia",2002
HTV Cup (cycling),Race stage,Vietnam,2002
Herald Sun Tour,Race stage,Victoria (state),2002
International Tour of Rhodes,Race stage,"Greece, Rhodes",2002
Japan Cup (cycling),Classic cycle races,Japan,2002
Jelajah Malaysia,Race stage,Peninsular Malaysia,2002
Joe Martin Stage Race,Race stage,"Fayetteville, Arkansas",2002
Kreiz Breizh Elites,Race stage,"Brittany, France",2002
Memorial Grundmanna I Wizowskiego,Classic cycle races,Poland,2002
Memoriał Romana Siemińskiego,Classic cycle races,"Masovian Voivodeship, Poland",2002
Okolo Slovenska,Race stage,Slovakia,2002
Presidential Cycling Tour of Turkey,Race stage,Turkey,2002
Ronde de l'Oise,Race stage,Oise,2002
Rutas de América,Race stage,Uruguay,2002
Settimana Internazionale di Coppi e Bartali,Race stage,Emilia-Romagna,2002
Szlakiem Grodów Piastowskich,Race stage,Lower Silesian Voivodeship,2002
Szlakiem Walk Majora Hubala,"Classic cycle races, Race stage",Poland,2002
Tour de Hokkaido,Race stage,"Hokkaido, Japan",2002
Tour de Hongrie,Race stage,Hungary,2002
Tour de Korea,Race stage,South Korea,2002
Tour de Langkawi,Race stage,Peninsular Malaysia,2002
Tour de Okinawa,Classic cycle races,"Japan, Okinawa Prefecture",2002
Tour de Pologne,Race stage,Poland,2002
Tour de Pologne Women,Race stage,Poland,2002
Tour de Romandie,Major one week stage races (cycling),Romandy,2002
Tour de Serbie,Race stage,Serbia,2002
Tour des Alpes-Maritimes,Race stage,"Provence-Alpes-Côte d'Azur, Var (department)",2002
Tour des Aéroports,Race stage,Tunisia,2002
Tour du Grand Montréal,Race stage,"Canada, Montreal",2002
Tour du Sénégal,Race stage,Senegal,2002
Tour of Austria,Race stage,Austria,2002
Tour of Belgium,Race stage,Belgium,2002
Tour of Bulgaria,Race stage,Bulgaria,2002
Tour of China,Race stage,China,2002
Tour of Galicia,Race stage,Galicia (Spain),2002
Tour of Małopolska,Race stage,"Lesser Poland Voivodeship, Poland",2002
Tour of Qatar,Race stage,Qatar,2002
Tour of Qinghai Lake,Race stage,"China, Qinghai",2002
Tour of Romania,Race stage,Romania,2002
Tour of South China Sea,Classic cycle races,Guangdong,2002
Tour of the Alps,Race stage,Tyrol–South Tyrol–Trentino Euroregion,2002
Tour of the Basque Country,Major one week stage races (cycling),Basque Country (autonomous community),2002
Trofeo Edil C,Classic cycle races,"Italy, Province of Parma",2002
Van Merksteijn Fences Classic,Classic cycle races,"Belgium, Zwevegem",2002
Volta a Catalunya,Major one week stage races (cycling),Catalonia,2002
Volta a la Comunitat Valenciana,Race stage,Valencian Community,2002
Vuelta a Aragón,Race stage,Aragon,2002
Vuelta a Navarra,Race stage,Navarre,2002
Vuelta a San Juan,Race stage,"Argentina, San Juan Province, Argentina",2002
Vuelta a la Independencia Nacional,Race stage,Dominican Republic,2002
Alpes Isère Tour,Race stage,Rhône-Alpes,2003
Australia World Cup,Classic cycle races,"Australia, Canberra, Geelong, Snowy Mountains, Sydney",2003
Bayern Rundfahrt,Race stage,Bavaria,2003
Bałtyk–Karkonosze Tour,Race stage,Poland,2003
Chrono des Nations,Individual time trial,Vendée,2003
Circuit de Wallonie,Classic cycle races,Wallonia,2003
Dookoła Mazowsza,Race stage,"Mazovia, Poland",2003
Draai van de Kaai,Criterium,"Netherlands, Roosendaal",2003
Dwars door het Hageland,Classic cycle races,Flemish Brabant,2003
Five Rings of Moscow,Race stage,"Moscow, Russia",2003
HTV Cup (cycling),Race stage,Vietnam,2003
Herald Sun Tour,Race stage,Victoria (state),2003
International Tour of Rhodes,Race stage,"Greece, Rhodes",2003
Japan Cup (cycling),Classic cycle races,Japan,2003
Jelajah Malaysia,Race stage,Peninsular Malaysia,2003
Joe Martin Stage Race,Race stage,"Fayetteville, Arkansas",2003
Kreiz Breizh Elites,Race stage,"Brittany, France",2003
Memorial Grundmanna I Wizowskiego,Classic cycle races,Poland,2003
Okolo Slovenska,Race stage,Slovakia,2003
Presidential Cycling Tour of Turkey,Race stage,Turkey,2003
Ronde de l'Oise,Race stage,Oise,2003
Rutas de América,Race stage,Uruguay,2003
Settimana Internazionale di Coppi e Bartali,Race stage,Emilia-Romagna,2003
Szlakiem Grodów Piastowskich,Race stage,Lower Silesian Voivodeship,2003
Szlakiem Walk Majora Hubala,"Classic cycle races, Race stage",Poland,2003
Tour de Hokkaido,Race stage,"Hokkaido, Japan",2003
Tour de Hongrie,Race stage,Hungary,2003
Tour de Korea,Race stage,South Korea,2003
Tour de Langkawi,Race stage,Peninsular Malaysia,2003
Tour de Okinawa,Classic cycle races,"Japan, Okinawa Prefecture",2003
Tour de Pologne,Race stage,Poland,2003
Tour de Pologne Women,Race stage,Poland,2003
Tour de Romandie,Major one week stage races (cycling),Romandy,2003
Tour de Serbie,Race stage,Serbia,2003
Tour de Taiwan,Race stage,Taiwan,2003
Tour des Alpes-Maritimes,Race stage,"Provence-Alpes-Côte d'Azur, Var (department)",2003
Tour des Aéroports,Race stage,Tunisia,2003
Tour du Cameroun,Race stage,Cameroon,2003
Tour du Grand Montréal,Race stage,"Canada, Montreal",2003
Tour du Jura (France),"Classic cycle races, Race stage",France,2003
Tour du Sénégal,Race stage,Senegal,2003
Tour of Austria,Race stage,Austria,2003
Tour of Belgium,Race stage,Belgium,2003
Tour of Belize,Race stage,Belize,2003
Tour of Bulgaria,Race stage,Bulgaria,2003
Tour of China,Race stage,China,2003
Tour of Galicia,Race stage,Galicia (Spain),2003
Tour of Małopolska,Race stage,"Lesser Poland Voivodeship, Poland",2003
Tour of Qatar,Race stage,Qatar,2003
Tour of Qinghai Lake,Race stage,"China, Qinghai",2003
Tour of Romania,Race stage,Romania,2003
Tour of South China Sea,Classic cycle races,Guangdong,2003
Tour of the Alps,Race stage,Tyrol–South Tyrol–Trentino Euroregion,2003
Tour of the Basque Country,Major one week stage races (cycling),Basque Country (autonomous community),2003
Trofeo Edil C,Classic cycle races,"Italy, Province of Parma",2003
Van Merksteijn Fences Classic,Classic cycle races,"Belgium, Zwevegem",2003
Volta a Catalunya,Major one week stage races (cycling),Catalonia,2003
Volta a la Comunitat Valenciana,Race stage,Valencian Community,2003
Vuelta a Aragón,Race stage,Aragon,2003
Vuelta a Navarra,Race stage,Navarre,2003
Vuelta a San Juan,Race stage,"Argentina, San Juan Province, Argentina",2003
Vuelta a la Independencia Nacional,Race stage,Dominican Republic,2003
Alpes Isère Tour,Race stage,Rhône-Alpes,2004
Australia World Cup,Classic cycle races,"Australia, Canberra, Geelong, Snowy Mountains, Sydney",2004
Bayern Rundfahrt,Race stage,Bavaria,2004
Bałtyk–Karkonosze Tour,Race stage,Poland,2004
Chrono des Nations,Individual time trial,Vendée,2004
Circuit de Wallonie,Classic cycle races,Wallonia,2004
Critérium du Dauphiné,Major one week stage races (cycling),"France, Rhône-Alpes",2004
Dookoła Mazowsza,Race stage,"Mazovia, Poland",2004
Draai van de Kaai,Criterium,"Netherlands, Roosendaal",2004
Five Rings of Moscow,Race stage,"Moscow, Russia",2004
HTV Cup (cycling),Race stage,Vietnam,2004
Herald Sun Tour,Race stage,Victoria (state),2004
Japan Cup (cycling),Classic cycle races,Japan,2004
Jelajah Malaysia,Race stage,Peninsular Malaysia,2004
Joe Martin Stage Race,Race stage,"Fayetteville, Arkansas",2004
Kreiz Breizh Elites,Race stage,"Brittany, France",2004
Memorial Grundmanna I Wizowskiego,Classic cycle races,Poland,2004
Memoriał Romana Siemińskiego,Classic cycle races,"Masovian Voivodeship, Poland",2004
Okolo Slovenska,Race stage,Slovakia,2004
Presidential Cycling Tour of Turkey,Race stage,Turkey,2004
